Transaction_Amount,Account_Balance,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Age,Transaction_Distance,Risk_Score,Is_Weekend,Transaction_Type_Online,Transaction_Type_POS,Device_Type_Mobile,Device_Type_Tablet,Merchant_Category_Electronics,Merchant_Category_Grocery,Merchant_Category_Restaurants,Merchant_Category_Travel,Card_Type_Debit,Card_Type_Prepaid,Authentication_Method_OTP,Authentication_Method_PIN,Fraud_Label
23.67,96228.44,0,4,461.03,2,113,4.49,0.925,1,1,0,0,0,0,0,0,0,0,0,0,1,1
23.17,49773.3,0,1,122.25,1,153,6.23,0.971,1,0,1,1,0,0,0,0,0,1,0,0,1,1
3.98,47962.91,0,1,189.24,3,194,7.04,0.242,1,0,1,1,0,0,0,1,0,0,1,0,1,0
76.99,92077.83,0,1,321.61,3,63,2.79,0.934,0,0,0,0,0,0,1,0,0,1,0,0,0,1
4.37,45453.09,1,11,19.9,4,13,0.76,0.926,0,0,0,1,0,1,0,0,0,0,1,1,0,0
21.68,82622.28,0,11,381.66,4,141,5.96,0.279,0,0,0,1,0,0,1,0,0,1,0,1,0,0
37.3,89789.33,0,1,215.04,2,22,13.9,0.453,1,1,0,1,0,1,0,0,0,0,1,0,0,0
93.14,7178.46,0,1,22.84,1,204,4.99,0.125,1,1,0,0,0,0,0,1,0,0,1,0,1,0
13.76,5810.42,1,10,442.02,1,11,7.41,0.729,0,0,0,0,0,0,1,0,0,0,1,0,0,1
59.12,60783.89,0,12,247.06,4,70,0.14,0.664,0,1,0,0,0,1,0,0,0,0,1,0,1,0
62.06,99038.71,0,1,495.32,1,238,1.69,0.943,0,1,0,1,0,0,0,0,1,1,0,1,0,1
17.21,44859.5,0,12,378.82,1,133,7.83,0.993,1,0,0,0,0,0,1,0,0,0,1,0,1,1
132.31,1106.18,0,9,119.56,1,110,6.05,0.191,0,1,0,1,0,0,0,1,0,1,0,0,0,1
2.67,88726.29,0,13,470.58,2,206,0.62,0.551,1,1,0,0,1,0,0,1,0,0,1,1,0,0
29.73,31275.26,0,6,423.82,2,102,4.67,0.503,0,1,0,1,0,0,0,0,1,0,1,1,0,1
156.63,71867.75,0,8,247.07,4,18,1.08,0.867,0,0,0,1,0,0,0,1,0,0,1,1,0,1
122.08,63375.48,1,7,384.16,3,29,20.24,0.877,0,1,0,1,0,0,1,0,0,0,0,0,1,1
62.99,39409.1,1,15,16.23,4,1,6.1,0.064,0,0,0,1,0,0,0,0,0,1,0,1,0,0
13.47,45995.78,0,16,197.1,3,29,12.94,0.091,0,1,0,0,0,0,1,0,0,0,1,1,0,0
200.24,6750.18,1,13,86.23,2,185,3.6,0.843,1,1,0,0,0,1,0,0,0,1,0,1,0,1
297.02,65469.4,1,6,295.94,3,192,0.91,0.305,0,1,0,1,0,0,0,0,0,1,0,0,0,1
16.62,31883.25,0,15,434.0,1,63,2.28,0.284,0,0,1,1,0,0,0,0,1,1,0,0,0,1
166.35,71750.43,0,10,207.54,1,138,0.46,0.809,0,1,0,0,0,1,0,0,0,0,1,0,1,0
110.97,2264.57,0,4,496.88,3,147,2.81,0.193,0,1,0,1,0,0,0,1,0,0,1,0,0,0
146.35,22862.85,0,8,211.74,0,148,3.34,0.931,1,1,0,1,0,0,0,0,0,0,0,1,0,0
88.34,85629.49,1,18,65.53,2,162,7.37,0.84,0,1,0,1,0,0,0,0,0,1,0,0,1,1
356.04,46717.03,0,18,222.44,4,161,0.12,0.27,0,1,0,1,0,0,1,0,0,0,1,1,0,1
63.51,93689.24,0,2,482.12,2,225,4.69,0.496,0,0,1,1,0,0,0,0,0,1,0,0,1,0
81.08,65128.24,0,11,401.71,1,33,0.17,0.935,0,0,0,0,0,0,1,0,0,0,1,1,0,0
13.36,95504.58,1,8,456.5,3,168,3.99,0.901,0,1,0,0,0,0,0,0,0,0,0,0,0,1
173.31,14698.1,0,2,239.24,1,238,0.26,0.189,1,0,0,1,0,0,1,0,0,1,0,0,1,0
61.68,11978.38,0,8,191.18,1,166,8.38,0.415,0,1,0,0,0,0,0,0,1,0,1,0,0,1
57.62,51306.31,0,13,143.71,3,89,3.26,0.063,1,1,0,0,1,1,0,0,0,0,1,0,1,1
277.66,40504.73,0,6,207.65,2,209,15.93,0.685,0,0,1,1,0,0,0,1,0,0,1,1,0,0
32.64,6640.38,0,5,498.59,1,195,2.14,0.542,0,1,0,1,0,1,0,0,0,0,0,1,0,0
270.97,81832.2,0,7,158.49,2,189,5.7,0.828,0,1,0,0,0,0,1,0,0,0,1,0,1,1
3.06,77261.92,0,2,122.66,1,73,1.05,0.334,0,1,0,1,0,1,0,0,0,0,0,1,0,1
17.87,2412.7,1,14,125.34,3,162,6.34,0.123,0,0,0,0,1,0,0,0,0,0,0,1,0,1
183.91,18364.94,0,12,321.97,1,193,11.32,0.35,0,0,1,1,0,0,0,0,0,0,0,0,1,0
75.79,91389.55,0,4,376.57,3,22,7.56,0.483,1,0,0,0,0,1,0,0,0,0,0,0,1,0
42.1,79325.31,0,14,442.65,0,33,3.06,0.825,0,1,0,0,0,0,0,0,0,1,0,1,0,0
120.2,44740.62,0,18,351.97,2,67,0.45,0.341,1,1,0,1,0,0,0,0,0,1,0,1,0,0
87.44,60901.74,0,5,405.78,1,66,0.35,0.722,0,1,0,1,0,0,0,0,1,0,0,0,0,1
33.67,72616.47,0,16,41.77,2,204,11.16,0.742,0,0,0,0,0,1,0,0,0,1,0,0,0,0
31.02,61137.22,0,7,403.37,0,151,2.81,0.644,0,0,1,1,0,0,0,0,0,0,0,1,0,1
364.77,6548.96,0,15,195.39,2,45,6.31,0.903,0,1,0,1,0,0,0,0,0,0,1,0,0,0
129.81,63208.04,0,8,138.53,1,209,2.84,0.152,0,0,0,0,1,0,0,1,0,1,0,0,1,0
115.9,18451.1,1,1,188.75,0,232,6.61,0.838,1,0,1,0,0,1,0,0,0,0,0,1,0,1
187.77,49902.03,0,9,144.45,0,147,0.32,0.27,0,0,0,0,1,1,0,0,0,0,1,0,1,0
8.69,51223.85,1,6,480.07,1,226,2.22,0.596,0,0,1,0,1,0,0,0,1,0,1,0,0,0
51.14,39503.86,0,18,265.6,2,157,22.46,0.846,0,1,0,1,0,0,0,1,0,1,0,0,0,1
11.14,51661.17,0,10,411.83,0,202,11.45,0.641,0,0,1,1,0,0,0,1,0,1,0,0,1,0
134.24,82153.57,0,13,26.25,3,22,5.77,0.605,0,1,0,0,0,1,0,0,0,0,0,1,0,0
103.79,1020.89,0,13,454.36,2,39,0.34,0.863,1,0,0,1,0,0,0,1,0,0,1,1,0,0
22.22,40137.73,1,12,97.01,4,134,15.42,0.562,0,0,1,0,0,1,0,0,0,0,0,0,0,1
17.21,95525.04,0,10,146.31,1,215,6.69,0.205,1,0,0,1,0,0,0,0,1,1,0,0,0,1
36.42,26269.93,0,7,335.03,4,220,3.53,0.75,0,0,0,0,1,0,0,0,1,1,0,0,0,0
94.32,71331.44,0,15,214.13,2,8,6.56,0.543,1,1,0,0,0,0,0,1,0,0,1,0,1,0
300.87,60055.09,0,12,228.25,1,136,2.8,0.294,1,0,0,1,0,1,0,0,0,0,1,0,0,0
231.66,87484.16,0,16,191.99,0,162,4.81,0.42,0,1,0,0,0,0,1,0,0,1,0,0,0,0
113.73,28589.48,0,1,421.21,0,143,20.46,0.658,0,1,0,1,0,0,0,0,0,1,0,1,0,0
54.96,4075.3,0,5,128.65,2,142,5.78,0.466,0,1,0,0,0,0,1,0,0,1,0,1,0,0
354.65,29368.97,1,13,487.05,0,10,2.61,0.645,0,0,1,0,0,0,0,1,0,1,0,0,1,1
56.86,4059.8,0,1,183.73,3,166,2.32,0.915,1,0,1,0,0,1,0,0,0,1,0,1,0,1
33.08,99916.31,0,16,98.33,2,153,10.67,0.841,1,0,1,0,0,0,0,0,1,0,0,1,0,1
46.73,78796.56,0,9,464.41,4,68,6.67,0.559,1,1,0,1,0,0,1,0,0,1,0,1,0,0
71.73,93001.72,0,13,463.51,4,185,9.84,0.109,1,1,0,1,0,0,1,0,0,1,0,0,1,0
220.54,49914.5,0,15,334.39,1,204,7.89,0.326,1,0,0,1,0,1,0,0,0,0,0,0,1,0
30.96,84532.44,0,5,432.75,4,234,5.26,0.669,0,1,0,0,0,0,0,1,0,0,0,0,0,0
85.27,3725.84,1,12,302.3,1,67,8.6,0.921,1,1,0,0,0,0,0,0,0,0,1,0,1,1
45.29,78253.87,1,8,344.61,4,52,0.34,0.194,0,1,0,0,0,0,0,0,1,0,1,1,0,1
356.04,46717.03,0,18,222.44,4,161,0.12,0.27,0,1,0,1,0,0,1,0,0,0,1,1,0,1
109.17,59377.54,1,3,412.16,1,169,0.74,0.672,0,1,0,1,0,0,0,0,1,0,0,1,0,1
44.29,82069.24,0,17,149.89,2,36,1.93,0.91,0,1,0,0,1,0,1,0,0,0,1,0,1,0
120.61,33308.01,0,14,190.71,3,200,4.4,0.882,0,0,0,1,0,1,0,0,0,0,0,0,0,1
22.6,28101.92,1,1,433.6,2,152,3.03,0.481,1,0,0,0,0,0,0,1,0,0,1,1,0,1
35.15,71562.11,1,14,402.43,0,165,3.28,0.114,0,1,0,1,0,0,1,0,0,0,1,0,1,0
112.27,98745.08,0,7,140.19,0,196,2.23,0.927,1,0,0,0,0,0,0,1,0,1,0,0,0,0
48.86,37397.25,0,4,231.62,3,101,1.05,0.009,0,1,0,1,0,0,0,0,0,0,0,0,1,0
109.59,47741.51,0,14,83.83,3,17,2.43,0.831,0,1,0,0,0,0,0,0,0,0,1,0,1,1
19.11,55156.3,0,19,34.95,3,220,1.83,0.967,0,0,1,0,0,0,0,0,0,1,0,1,0,1
72.48,17944.93,0,10,406.94,1,23,16.14,0.204,0,1,0,1,0,0,0,1,0,1,0,0,0,0
147.16,7070.3,0,19,137.81,4,74,1.43,0.065,1,0,1,1,0,0,0,0,0,0,0,1,0,0
77.16,10148.92,0,13,431.12,0,141,6.12,0.42,1,0,1,1,0,0,0,0,1,1,0,1,0,0
56.84,90562.31,0,19,301.8,2,174,4.69,0.571,1,0,1,1,0,0,0,1,0,1,0,0,1,0
91.09,14630.2,1,14,333.23,3,8,10.06,0.156,0,0,0,1,0,0,0,0,0,1,0,0,0,1
283.25,21407.43,0,17,454.69,3,228,7.09,0.907,0,1,0,1,0,0,0,1,0,0,1,0,1,1
127.89,52630.74,0,7,446.92,3,25,8.47,0.477,0,1,0,0,1,0,0,1,0,0,1,0,0,0
121.05,19671.63,0,8,116.01,1,112,1.97,0.171,1,1,0,1,0,1,0,0,0,0,1,0,0,1
184.96,24635.83,0,16,478.39,3,193,1.41,0.655,1,0,0,0,0,0,0,0,0,0,1,0,1,0
128.34,45980.45,0,5,161.82,2,139,2.22,0.615,1,0,1,1,0,1,0,0,0,0,1,0,1,0
87.9,98466.32,0,13,353.53,2,47,7.45,0.718,0,1,0,1,0,0,0,0,0,0,0,1,0,0
177.21,11979.19,0,18,408.73,1,165,2.2,0.492,0,1,0,1,0,0,0,1,0,1,0,0,0,0
128.73,62287.97,0,19,340.42,3,100,0.59,0.289,1,0,0,1,0,0,0,0,1,1,0,0,1,0
128.36,88647.66,0,1,149.15,1,92,1.13,0.797,0,0,0,1,0,0,0,0,0,1,0,0,1,0
277.92,46746.37,1,10,191.95,4,116,3.05,0.791,1,0,1,1,0,0,0,0,0,1,0,0,0,0
111.17,44026.83,0,6,124.53,2,167,0.83,0.498,1,0,0,0,0,0,1,0,0,0,0,1,0,0
123.93,36317.46,0,17,365.93,3,8,7.33,0.651,0,0,1,1,0,0,0,0,0,0,1,0,0,0
98.01,36206.7,0,6,51.35,1,204,3.24,0.655,0,1,0,1,0,0,0,0,1,0,1,1,0,0
75.22,88486.48,0,13,413.7,2,113,7.09,0.853,0,1,0,0,1,0,0,0,0,0,0,1,0,1
103.6,85119.89,0,9,191.98,4,171,0.12,0.756,1,1,0,0,0,0,0,1,0,0,0,0,0,0
14.63,51593.39,0,5,215.95,4,136,4.63,0.952,0,1,0,0,0,0,0,1,0,0,1,0,0,1
47.17,37264.2,1,8,413.89,3,83,0.82,0.081,0,1,0,1,0,1,0,0,0,1,0,0,1,1
37.44,29796.7,0,19,310.05,2,34,1.04,0.062,0,1,0,1,0,1,0,0,0,0,0,0,0,0
70.66,17742.88,0,16,417.13,0,122,2.34,0.4,0,1,0,1,0,0,1,0,0,1,0,0,1,0
31.07,68456.98,0,15,36.18,0,114,6.98,0.175,1,0,0,1,0,0,0,0,1,0,1,0,1,0
278.86,56877.62,0,4,103.11,2,43,4.57,0.931,0,0,1,1,0,0,0,1,0,0,1,0,0,1
18.52,92793.05,0,18,499.66,0,219,6.18,0.55,0,1,0,1,0,0,0,1,0,1,0,0,1,0
6.33,4271.98,0,11,455.49,1,77,1.83,0.68,1,0,1,1,0,0,0,0,0,0,1,0,1,0
22.2,30049.43,0,3,168.83,1,43,3.37,0.274,0,1,0,0,0,0,0,0,1,1,0,1,0,1
7.84,51153.91,0,14,154.1,0,234,2.44,0.938,0,1,0,1,0,0,1,0,0,1,0,0,1,1
28.24,37735.07,0,9,37.03,2,148,10.93,0.862,1,1,0,0,0,0,0,0,1,0,0,1,0,0
30.33,34042.99,0,9,18.86,0,121,4.91,0.76,1,0,0,0,1,0,0,1,0,0,0,1,0,0
2.26,47473.13,0,2,476.42,0,131,2.02,0.917,0,1,0,1,0,0,0,0,1,0,1,0,1,0
242.68,15648.95,0,3,488.87,4,48,4.56,0.085,0,1,0,1,0,1,0,0,0,1,0,1,0,0
384.69,99816.58,0,11,58.57,4,146,5.54,0.806,0,0,1,1,0,0,0,1,0,1,0,1,0,1
87.49,12492.96,0,3,299.78,4,161,0.39,0.263,0,1,0,1,0,0,0,1,0,0,0,1,0,0
89.94,33393.57,0,10,364.12,3,7,0.6,0.931,0,0,1,0,1,0,0,1,0,1,0,0,0,1
31.1,91816.36,0,9,456.68,4,109,0.53,0.858,1,1,0,0,0,1,0,0,0,0,1,0,1,0
133.24,23628.55,0,3,482.6,3,204,0.84,0.981,1,0,1,1,0,0,0,1,0,0,1,0,1,0
190.41,15306.78,0,13,80.98,3,151,3.17,0.469,0,0,0,1,0,1,0,0,0,0,0,0,0,0
116.12,28978.42,1,4,87.48,1,87,3.92,0.25,1,1,0,1,0,1,0,0,0,0,0,1,0,1
48.28,54854.4,0,7,269.0,2,119,1.02,0.709,1,0,1,0,0,0,0,1,0,0,0,1,0,0
34.47,3814.73,0,3,128.79,3,50,6.99,0.462,1,0,1,1,0,0,0,0,0,0,0,0,1,0
131.01,53519.68,0,19,209.25,3,193,1.74,0.529,0,0,1,1,0,0,0,0,1,0,1,1,0,0
129.42,17377.91,1,19,172.03,1,175,10.53,0.095,0,1,0,1,0,1,0,0,0,1,0,1,0,1
10.57,3151.52,0,8,86.71,1,148,1.72,0.246,0,1,0,0,0,0,0,0,1,0,1,0,1,0
171.21,38054.64,1,1,161.47,1,233,4.97,0.74,1,0,1,1,0,1,0,0,0,0,1,0,0,1
113.88,46782.21,1,13,171.02,3,165,0.03,0.936,0,0,1,1,0,0,0,0,1,0,1,1,0,0
3.28,43584.95,1,17,356.51,1,8,1.6,0.803,0,1,0,1,0,0,1,0,0,0,1,1,0,1
31.3,13967.59,0,2,337.51,3,92,12.77,0.86,0,1,0,0,0,1,0,0,0,1,0,1,0,1
9.5,12068.86,0,10,191.03,4,199,2.25,0.318,1,1,0,0,1,0,1,0,0,1,0,1,0,0
13.76,5810.42,1,10,442.02,1,11,7.41,0.729,0,0,0,0,0,0,1,0,0,0,1,0,0,1
145.93,24389.25,0,6,85.21,0,200,0.61,0.483,0,1,0,0,0,0,0,1,0,1,0,0,0,0
59.65,14859.31,0,3,493.93,1,99,0.1,0.984,1,0,0,1,0,1,0,0,0,1,0,0,0,0
90.56,91985.02,0,7,392.75,1,77,1.04,0.507,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4.6,70792.28,0,4,249.68,0,64,4.16,0.869,0,1,0,0,1,1,0,0,0,1,0,1,0,0
56.17,31703.84,0,12,215.95,0,63,7.33,0.072,0,1,0,0,0,1,0,0,0,1,0,0,1,0
80.56,26865.59,1,17,188.94,0,102,0.03,0.823,0,1,0,1,0,0,0,0,1,0,0,0,1,1
60.95,97806.3,0,5,122.57,0,61,0.03,0.885,0,1,0,0,0,0,0,0,1,0,1,1,0,0
155.94,26783.55,0,11,489.93,1,116,2.05,0.048,1,0,0,1,0,0,1,0,0,0,1,0,1,0
131.92,55435.41,0,8,204.44,4,204,1.39,0.742,0,1,0,1,0,1,0,0,0,1,0,0,1,0
63.13,89008.22,1,1,108.86,1,121,3.66,0.369,0,0,0,1,0,0,0,0,0,0,0,0,1,0
13.32,75808.36,0,19,157.59,1,50,6.57,0.262,1,0,1,1,0,0,0,0,1,0,0,0,0,0
95.53,89624.5,0,4,267.96,0,52,1.24,0.549,0,0,0,1,0,0,1,0,0,1,0,0,1,0
1.43,77527.28,0,5,303.92,0,66,2.55,0.224,0,1,0,1,0,0,1,0,0,1,0,0,0,0
202.61,94734.61,0,12,276.39,2,102,5.85,0.9,0,0,1,1,0,0,1,0,0,1,0,0,1,0
196.3,31033.21,0,16,422.0,4,36,2.4,0.306,0,0,1,1,0,0,0,0,1,0,0,1,0,0
11.82,20795.15,0,1,396.74,4,11,6.62,0.103,0,1,0,0,1,1,0,0,0,0,1,0,1,0
67.59,62710.79,0,16,100.69,2,39,12.68,0.77,1,0,0,0,0,0,0,0,1,0,1,0,0,0
51.36,83855.35,1,13,347.78,0,83,4.42,0.274,0,1,0,0,0,0,0,1,0,0,1,0,0,1
32.32,23860.07,0,6,333.69,2,109,1.19,0.032,0,1,0,0,0,1,0,0,0,1,0,0,1,0
76.74,21195.93,0,17,118.78,3,2,1.19,0.159,0,0,0,0,0,0,1,0,0,1,0,0,0,0
214.26,27455.46,0,1,248.83,1,61,3.4,0.125,1,1,0,0,0,0,0,0,0,1,0,1,0,0
37.07,25374.25,0,15,182.27,1,19,4.52,0.369,1,0,0,1,0,0,0,0,1,1,0,0,0,0
118.4,94437.19,1,15,60.02,1,140,14.06,0.142,0,0,1,1,0,1,0,0,0,0,0,1,0,0
72.78,6714.28,0,9,192.6,2,2,3.0,0.955,0,1,0,1,0,0,0,0,0,0,1,1,0,0
176.74,63669.91,0,7,229.67,2,55,1.38,0.322,0,1,0,1,0,0,0,1,0,0,1,0,1,0
102.34,82097.68,0,1,364.9,0,192,5.37,0.525,0,1,0,0,0,0,1,0,0,1,0,0,0,0
111.75,99960.93,0,3,460.56,3,108,4.73,0.498,0,1,0,1,0,0,0,1,0,0,1,0,0,0
194.56,19251.51,0,4,481.57,0,81,0.62,0.258,0,0,0,1,0,0,0,1,0,0,0,0,1,0
91.79,59398.23,1,19,385.58,0,58,3.38,0.115,0,0,1,1,0,0,1,0,0,0,1,0,1,1
145.75,3751.24,0,16,425.06,3,208,13.03,0.482,0,1,0,1,0,1,0,0,0,0,0,1,0,1
75.93,26442.71,0,14,270.32,0,47,1.98,0.394,0,1,0,1,0,0,0,1,0,1,0,0,0,0
29.23,68865.48,0,9,189.82,0,148,3.71,0.004,0,0,1,0,0,0,0,1,0,1,0,1,0,0
72.09,84998.79,0,4,437.44,3,163,0.46,0.857,0,0,0,0,1,0,0,0,0,0,0,0,1,0
183.28,68844.45,0,9,295.66,2,104,2.14,0.809,1,0,1,1,0,0,0,1,0,0,0,0,1,1
80.63,80066.35,0,6,135.11,3,238,6.39,0.618,1,1,0,1,0,0,0,1,0,0,1,1,0,0
242.12,49928.22,0,11,65.81,4,27,0.53,0.397,0,1,0,0,0,1,0,0,0,0,0,0,0,0
57.92,30737.07,0,13,122.22,4,147,0.14,0.482,0,1,0,1,0,0,0,0,0,0,0,0,0,0
50.18,99047.88,0,2,475.34,3,184,1.08,0.628,1,0,1,1,0,1,0,0,0,0,0,0,0,0
82.8,65236.78,0,18,117.69,3,160,0.63,0.359,1,0,1,0,0,0,1,0,0,1,0,0,0,0
37.25,40667.42,0,9,109.86,0,187,4.32,0.277,0,0,0,0,0,0,0,1,0,1,0,0,1,0
29.81,49462.11,0,2,405.06,3,1,16.65,0.661,0,0,0,1,0,1,0,0,0,0,0,0,0,0
35.16,16275.84,0,9,93.49,0,222,0.55,0.758,0,0,0,1,0,0,1,0,0,1,0,0,0,0
104.65,13608.79,0,17,61.83,3,180,0.85,0.069,0,0,1,1,0,0,0,0,1,1,0,1,0,1
70.08,6192.46,0,18,125.4,0,82,0.67,0.515,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19.02,1623.51,0,8,284.25,2,38,1.75,0.996,0,1,0,0,0,1,0,0,0,0,0,1,0,0
6.27,11865.93,0,8,30.02,4,179,10.26,0.391,0,1,0,1,0,0,0,0,1,0,1,0,0,0
155.48,78199.62,0,13,249.03,1,127,14.48,0.809,0,1,0,1,0,0,1,0,0,1,0,1,0,0
25.93,32261.17,0,12,287.58,2,27,12.8,0.223,0,1,0,0,0,0,0,1,0,0,1,0,1,0
46.72,82257.01,0,11,230.59,3,45,4.85,0.488,1,0,1,0,0,0,0,0,0,1,0,0,1,1
90.03,39508.5,0,16,288.91,2,67,8.79,0.977,0,1,0,1,0,0,1,0,0,0,1,0,1,1
49.84,30036.45,0,2,115.33,4,2,8.15,0.88,0,1,0,1,0,0,0,0,1,1,0,0,0,0
82.79,96771.05,0,12,406.09,3,96,5.54,0.692,1,1,0,1,0,0,0,1,0,0,0,1,0,0
174.79,22392.21,0,18,318.37,4,127,5.91,0.542,1,0,0,0,0,0,0,0,1,1,0,0,1,0
142.05,28107.59,0,3,296.29,3,226,0.52,0.728,0,1,0,1,0,0,0,1,0,0,1,0,1,0
234.06,38804.02,1,16,379.78,0,226,3.16,0.022,0,0,0,0,1,0,0,0,1,1,0,1,0,0
23.36,11387.77,0,7,90.26,1,72,0.76,0.059,0,0,0,1,0,0,0,0,0,0,1,0,0,0
85.01,98087.66,0,17,299.14,1,123,6.11,0.948,0,0,1,0,0,0,1,0,0,0,0,0,0,0
191.41,35186.55,0,9,89.41,1,235,2.54,0.236,1,1,0,1,0,0,0,0,1,0,0,0,1,0
156.14,16756.69,0,14,204.68,3,60,3.82,0.391,0,1,0,1,0,0,0,0,1,0,1,0,1,0
139.58,38037.07,1,2,141.2,0,34,1.41,0.169,1,0,0,1,0,1,0,0,0,1,0,0,0,0
91.49,59806.95,0,4,181.65,1,124,3.81,0.668,1,1,0,1,0,0,0,1,0,1,0,1,0,0
10.98,94374.42,0,11,419.02,0,85,0.84,0.609,0,1,0,0,0,0,0,0,0,0,1,0,1,0
7.57,26841.33,0,17,396.33,3,107,2.89,0.972,0,0,1,0,1,0,1,0,0,1,0,0,0,0
80.56,26865.59,1,17,188.94,0,102,0.03,0.823,0,1,0,1,0,0,0,0,1,0,0,0,1,1
42.61,64953.92,0,15,459.37,3,185,12.04,0.764,1,1,0,0,0,0,0,0,1,0,1,1,0,0
39.93,91052.89,0,4,413.26,1,149,6.82,0.008,0,0,0,1,0,1,0,0,0,1,0,0,0,0
85.04,33076.41,0,10,20.74,1,228,4.37,0.498,0,0,1,1,0,1,0,0,0,0,1,1,0,1
47.79,34960.32,1,15,375.52,2,113,6.45,0.236,0,0,0,1,0,0,0,1,0,0,0,0,0,1
44.45,76990.32,0,19,69.83,2,131,4.94,0.322,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44.78,35492.55,0,18,399.94,4,210,0.33,0.541,0,0,1,1,0,1,0,0,0,0,1,1,0,1
27.82,78977.91,0,10,370.22,2,227,21.23,0.498,1,1,0,1,0,1,0,0,0,0,1,1,0,0
197.5,22617.73,0,10,159.17,0,81,19.78,0.319,0,0,1,1,0,0,0,0,1,1,0,1,0,0
61.75,99076.54,0,15,456.89,1,16,0.66,0.78,0,1,0,1,0,0,0,0,0,0,0,0,1,1
17.26,27574.78,0,4,455.04,4,163,14.0,0.911,0,1,0,0,0,1,0,0,0,1,0,0,1,0
118.89,196.27,0,16,279.24,2,4,3.8,0.898,0,0,1,1,0,0,0,0,1,0,1,0,0,1
135.72,28863.5,0,9,271.24,2,239,6.97,0.511,0,1,0,1,0,0,0,0,0,0,0,1,0,0
56.09,74924.19,0,6,26.07,4,72,6.94,0.036,0,1,0,1,0,0,1,0,0,1,0,1,0,1
29.93,12224.79,1,15,315.67,0,32,0.38,0.219,1,1,0,1,0,0,1,0,0,0,0,1,0,1
262.19,44127.61,1,15,225.45,0,208,13.86,0.737,0,1,0,1,0,0,0,1,0,0,1,0,0,1
2.28,41554.38,0,18,213.8,1,77,3.92,0.747,0,0,0,1,0,0,1,0,0,0,1,0,0,1
49.86,96594.07,1,8,338.91,0,229,2.13,0.143,0,0,0,0,1,0,0,1,0,0,1,0,1,0
